eventID,Agency,Identifier,sourceIdentifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,magnitudeType,sigmaMagnitude
PAS10000052,GUTE,GUTE|PAS-Ms,914258,1907,3,29,20,46,30,,122,3,,,,500,,7.2,Mw,0.2
PAS10000056,GUTE,GUTE|PAS-Ms,914262,1907,4,18,20,59,48,,123,14,,,,35,,7.6,Mw,0.2
PAS10000057,GUTE,GUTE|PAS-Ms,914263,1907,4,18,23,52,24,,123,13.5,,,,35,,7.4,Mw,0.2
PAS10000090,GUTE,GUTE|PAS-Ms,914225,1909,4,14,19,53,42,,123,24,,,,80,,7.3,Mw,0.2
PAS10000091,GUTE,GUTE|PAS-Ms,914226,1909,4,25,22,36,0,,127,4,,,,100,,7,Mw,0.2
PAS10000145,GUTE,GUTE|PAS-Ms,914153,1911,3,6,17,30,0,,126,6,,,,100,,6.8,Mw,0.2
PAS10000204,GUTE,GUTE|PAS-Ms,914136,1912,8,17,19,11,48,,127,4,,,,35,,7.5,Mw,0.2
PAS10000261,GUTE,GUTE|PAS-Ms,913996,1914,7,6,6,37,30,,122,24,,,,60,,6.8,Mw,0.2
PAS10000282,GUTE,GUTE|PAS-Ms,913886,1915,3,12,14,48,30,,124,12,,,,40,,7,Mw,0.2
PAS10000299,GUTE,GUTE|PAS-Ms,913940,1915,9,11,23,59,12,,123.5,5.5,,,,600,,6.8,Mw,0.2
PAS10000414,GUTE,GUTE|PAS-Ms,912747,1919,3,21,1,2,23,,123,13,,,,50,,6.5,Mw,0.2
PAS10000524,GUTE,GUTE|PAS-Ms,912276,1921,7,15,18,6,22,,128,2,,,,140,,6,Mw,0.2
PAS10000796,GUTE,GUTE|PAS-Ms,910427,1925,3,26,10,25,12,,125,5.5,,,,180,,6.5,Mw,0.2
PAS10000816,GUTE,GUTE|PAS-Ms,910513,1925,5,25,3,43,6,,122.5,12.5,,,,35,,6.2,Mw,0.2
PAS10000852,GUTE,GUTE|PAS-Ms,910715,1925,10,18,8,25,58,,128,3.5,,,,220,,6.2,Mw,0.2
PAS10000876,GUTE,GUTE|PAS-Ms,909718,1926,1,23,3,11,52,,126,11,,,,35,,5.6,Mw,0.2
PAS10000934,GUTE,GUTE|PAS-Ms,909938,1926,7,14,16,46,48,,129,2,,,,180,,6.2,Mw,0.2
PAS10000935,GUTE,GUTE|PAS-Ms,909939,1926,7,14,16,59,27,,129,2,,,,180,,6.2,Mw,0.2
PAS10000967,GUTE,GUTE|PAS-Ms,910134,1926,9,30,5,17,43,,122.5,3,,,,600,,6.2,Mw,0.2
PAS10000982,GUTE,GUTE|PAS-Ms,910207,1926,10,30,13,46,34,,124.5,9.5,,,,520,,6.2,Mw,0.2
PAS10001032,GUTE,GUTE|PAS-Ms,909199,1927,4,13,14,34,37,,120.5,16,,,,140,,6.2,Mw,0.2
PAS10001197,GUTE,GUTE|PAS-Ms,908824,1928,8,5,14,41,56,,119.5,16,,,,35,,6.2,Mw,0.2
PAS10001296,GUTE,GUTE|PAS-Ms,907995,1929,4,8,10,16,53,,124.6,7.8,,,,610,,6.8,Mw,0.2
PAS10001345,GUTE,GUTE|PAS-Ms,908226,1929,7,21,13,15,59,,124,14.5,,,,35,,5.6,Mw,0.2
PAS10001368,GUTE,GUTE|PAS-Ms,908318,1929,9,21,18,54,23,,125,10,,,,300,,6,Mw,0.2
PAS10001380,GUTE,GUTE|PAS-Ms,908362,1929,10,24,6,34,13,,118,22,,,,35,,6.5,Mw,0.2
PAS10001442,GUTE,GUTE|PAS-Ms,907410,1930,5,19,15,3,48,,122,21.5,,,,50,,6.5,Mw,0.2
PAS10001447,GUTE,GUTE|PAS-Ms,907427,1930,5,30,12,56,55,,124.5,2,,,,300,,6.2,Mw,0.2
PAS10001467,GUTE,GUTE|PAS-Ms,907510,1930,7,21,14,6,2,,114,7,,,,35,,6,Mw,0.2
PAS10001521,GUTE,GUTE|PAS-Ms,907817,1930,12,21,14,51,24,,122.25,20,,,,170,,6.9,Mw,0.2
PAS10001547,GUTE,GUTE|PAS-Ms,906588,1931,1,24,13,41,4,,126,10,,,,35,,6.2,Mw,0.2
PAS10001614,GUTE,GUTE|PAS-Ms,906789,1931,5,24,0,13,0,,125.5,10,,,,35,,6.2,Mw,0.2
PAS10001733,GUTE,GUTE|PAS-Ms,907096,1931,10,26,11,57,29,,126,8,,,,35,,5.6,Mw,0.2
PAS10001734,GUTE,GUTE|PAS-Ms,907097,1931,10,26,14,42,8,,126.25,13.25,,,,35,,5.6,Mw,0.2
PAS10001770,GUTE,GUTE|PAS-Ms,905983,1932,1,18,20,26,47,,121,19.5,,,,35,,5.6,Mw,0.2
PAS10001836,GUTE,GUTE|PAS-Ms,906124,1932,4,29,17,30,40,,127,7,,,,35,,5.6,Mw,0.2
PAS10001873,GUTE,GUTE|PAS-Ms,906202,1932,6,6,6,26,21,,122.5,2,,,,280,,5.8,Mw,0.2
PAS10001879,GUTE,GUTE|PAS-Ms,906213,1932,6,8,14,54,38,,126,8,,,,100,,6.2,Mw,0.2
PAS10001885,GUTE,GUTE|PAS-Ms,906223,1932,6,13,20,57,32,,119.25,18,,,,35,,6.2,Mw,0.2
PAS10001886,GUTE,GUTE|PAS-Ms,906224,1932,6,14,5,59,38,,120.25,18.5,,,,80,,6.5,Mw,0.2
PAS10001887,GUTE,GUTE|PAS-Ms,906226,1932,6,14,11,20,12,,120,18,,,,40,,6,Mw,0.2
PAS10001910,GUTE,GUTE|PAS-Ms,906281,1932,7,9,20,23,54,,126.5,5.5,,,,120,,6,Mw,0.2
PAS10001913,GUTE,GUTE|PAS-Ms,906284,1932,7,11,8,21,31,,124.5,12.5,,,,35,,5.6,Mw,0.2
PAS10001917,GUTE,GUTE|PAS-Ms,906297,1932,7,18,5,2,5,,120,14,,,,100,,6,Mw,0.2
PAS10001941,GUTE,GUTE|PAS-Ms,906349,1932,8,24,12,10,32,,120.5,16.5,,,,35,,6.2,Mw,0.2
PAS10001952,GUTE,GUTE|PAS-Ms,906370,1932,9,15,11,13,15,,120.75,6,,,,35,,6.2,Mw,0.2
PAS10001965,GUTE,GUTE|PAS-Ms,906414,1932,10,9,12,49,49,,122.5,23.5,,,,130,,6,Mw,0.2
PAS10001986,GUTE,GUTE|PAS-Ms,906460,1932,11,18,13,47,16,,124.5,2,,,,280,,6.5,Mw,0.2
PAS10002003,GUTE,GUTE|PAS-Ms,906501,1932,12,15,19,33,38,,121,21,,,,35,,6,Mw,0.2
PAS10002004,GUTE,GUTE|PAS-Ms,906502,1932,12,16,7,14,22,,127,7,,,,35,,5.6,Mw,0.2
PAS10002039,GUTE,GUTE|PAS-Ms,905388,1933,2,16,9,8,8,,126,2.5,,,,35,,5.6,Mw,0.2
PAS10002045,GUTE,GUTE|PAS-Ms,905403,1933,2,22,3,48,10,,125,5.5,,,,35,,5.6,Mw,0.2
PAS10002052,GUTE,GUTE|PAS-Ms,905427,1933,3,3,2,19,38,,120,15.5,,,,120,,6.5,Mw,0.2
PAS10002073,GUTE,GUTE|PAS-Ms,905494,1933,4,1,8,7,35,,127,6,,,,35,,5.6,Mw,0.2
PAS10002118,GUTE,GUTE|PAS-Ms,905621,1933,6,6,2,28,22,,120,14,,,,35,,6.2,Mw,0.2
PAS10002134,GUTE,GUTE|PAS-Ms,905656,1933,6,24,13,55,0,,126,4,,,,35,,5.6,Mw,0.2
PAS10002204,GUTE,GUTE|PAS-Ms,905795,1933,9,3,3,45,59,,126,3,,,,35,,5.6,Mw,0.2
PAS10002208,GUTE,GUTE|PAS-Ms,905801,1933,9,7,17,53,38,,126,6.5,,,,150,,6.2,Mw,0.2
PAS10002217,GUTE,GUTE|PAS-Ms,905821,1933,9,20,23,33,40,,121,13,,,,100,,6.5,Mw,0.2
PAS10002222,GUTE,GUTE|PAS-Ms,905833,1933,9,25,13,45,45,,126,6,,,,35,,6,Mw,0.2
PAS10002227,GUTE,GUTE|PAS-Ms,905840,1933,9,28,0,27,58,,127,7,,,,100,,5.8,Mw,0.2
PAS10002292,GUTE,GUTE|PAS-Ms,904747,1934,1,16,18,39,42,,124.75,6,,,,35,,6.2,Mw,0.2
PAS10002356,GUTE,GUTE|PAS-Ms,904882,1934,4,12,3,20,42,,120.25,19.75,,,,35,,5.6,Mw,0.2
PAS10002361,GUTE,GUTE|PAS-Ms,904891,1934,4,16,3,59,15,,127.25,8,,,,35,,6,Mw,0.2
PAS10002362,GUTE,GUTE|PAS-Ms,904892,1934,4,16,13,40,18,,121.5,21.5,,,,35,,6,Mw,0.2
PAS10002410,GUTE,GUTE|PAS-Ms,904987,1934,6,14,19,8,36,,121,2,,,,35,,5.6,Mw,0.2
PAS10002450,GUTE,GUTE|PAS-Ms,905084,1934,7,31,5,58,34,,119.75,15,,,,35,,5.6,Mw,0.2
PAS10002471,GUTE,GUTE|PAS-Ms,905151,1934,9,6,2,16,52,,126,6.5,,,,150,,6,Mw,0.2
PAS10002493,GUTE,GUTE|PAS-Ms,905237,1934,10,28,23,36,8,,123.5,23.25,,,,35,,5.6,Mw,0.2
PAS10002513,GUTE,GUTE|PAS-Ms,905287,1934,11,26,12,9,8,,120,14,,,,35,,6.2,Mw,0.2
PAS10002554,GUTE,GUTE|PAS-Ms,904079,1935,2,4,21,7,31,,127,2.5,,,,80,,6.5,Mw,0.2
PAS10002735,GUTE,GUTE|PAS-Ms,904555,1935,10,4,5,15,36,,125,6,,,,500,,6.5,Mw,0.2
PAS10002920,GUTE,GUTE|PAS-Ms,903638,1936,5,20,0,16,1,,121.5,13.5,,,,160,,6,Mw,0.2
PAS10003917,GUTE,GUTE|PAS-Ms,902150,1939,9,16,7,16,26,,127.75,3.5,,,,90,,5.8,Mw,0.2
PAS10004122,GUTE,GUTE|PAS-Ms,901438,1940,6,18,13,52,33,,123.5,5.5,,,,570,,6.5,Mw,0.2
PAS10004194,GUTE,GUTE|PAS-Ms,901580,1940,9,12,0,21,21,,123,2,,,,160,,6.5,Mw,0.2
PAS10004268,GUTE,GUTE|PAS-Ms,901738,1940,12,19,15,48,30,,118,9,,,,35,,5.6,Mw,0.2
PAS10004281,GUTE,GUTE|PAS-Ms,900608,1941,1,2,16,49,38,,122.5,3,,,,500,,6.2,Mw,0.2
PAS10004306,GUTE,GUTE|PAS-Ms,900648,1941,2,5,23,4,36,,128,3,,,,50,,5.8,Mw,0.2
PAS10004396,GUTE,GUTE|PAS-Ms,900847,1941,6,16,11,26,56,,127.5,6,,,,100,,6.5,Mw,0.2
PAS10004438,GUTE,GUTE|PAS-Ms,900913,1941,7,19,17,54,28,,124,10,,,,600,,5.8,Mw,0.2
PAS10004810,GUTE,GUTE|PAS-Ms,899909,1943,6,29,9,5,6,,125,2,,,,180,,6.5,Mw,0.2
