eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,str1,dip1,rake1,str2,dip2,rake2
610548604,ISC-GEM,1905,5,31,18,23,32.75,,120.203,18.895,132.9,24.9,,15,5,6.8,0.46,,,,,,
610548621,ISC-GEM,1905,12,10,18,9,58.89,,125.858,13.445,32,18.4,,15,6.3,6.8,0.2,,,,,,
16957889,ISC-GEM,1906,3,16,22,42,25.11,,120.51,23.56,        ,        ,,10,6.8,6.89,0.39,,,,,,
16957892,ISC-GEM,1906,3,26,3,28,39.05,,121.603,22.364,30.2,11.3,,15,12.3,6.13,0.2,,,,,,
16957904,ISC-GEM,1906,4,13,19,17,48.21,,120.463,23.598,27.4,13.2,,15,6.8,6.99,0.39,,,,,,
16957903,ISC-GEM,1906,4,13,23,52,1.24,,120.64,23.562,67.7,15,,15,6.8,6.55,0.2,,,,,,
16957908,ISC-GEM,1906,6,19,11,22,36.5,,122.582,19.008,28,15.4,,15,25,7.09,0.3,,,,,,
16957953,ISC-GEM,1907,4,18,20,59,53.52,,122.72,14.39,23.2,14.4,,15,25,7.52,0.56,,,,,,
610548686,ISC-GEM,1907,6,24,3,36,12.17,,118.921,1.948,35.9,13.7,,35,25,6.31,0.39,,,,,,
16957967,ISC-GEM,1907,7,9,18,54,58.87,,121.796,15.152,40.5,15.7,,15,10.6,6.82,0.48,,,,,,
16957968,ISC-GEM,1907,7,20,13,38,22.96,,126.188,8.316,39.2,16.8,,35,26.6,7.06,0.22,,,,,,
610326336,ISC-GEM,1907,11,24,13,58,37.46,,122.541,13.359,29.6,16.3,,15,3.8,6.59,0.23,,,,,,
16957982,ISC-GEM,1908,1,11,3,34,36.18,,121.788,22.074,20.2,14.7,,15,12.8,7.22,0.2,,,,,,
16958027,ISC-GEM,1909,4,25,22,35,50.89,,127.123,3.117,34.3,13.4,,35,14.2,6.5,0.29,,,,,,
16958091,ISC-GEM,1910,6,17,5,28,7.51,,120.673,22.505,32.4,15.2,,35,8.5,6.29,0.22,,,,,,
16958104,ISC-GEM,1910,9,1,0,44,29.26,,121.617,20.741,59.9,17.3,,15,14.7,6.99,0.29,,,,,,
16958115,ISC-GEM,1910,11,14,7,34,17.5,,121.81,22.762,29.4,18.5,,15,7,6.89,0.23,,,,,,
16958127,ISC-GEM,1910,12,16,14,44,55.85,,126.017,4.668,28,11.9,,15,43.9,7.61,0.2,,,,,,
610643057,ISC-GEM,1910,12,18,2,45,6.83,,125.537,4.841,27.7,15.2,,35,25,6.5,0.24,,,,,,
16958154,ISC-GEM,1911,7,12,4,7,38.11,,127.029,8.488,17.2,8.8,,15,5,7.7,0.32,,,,,,
16958206,ISC-GEM,1912,8,17,19,11,56.32,,125.973,3.568,18.8,8.6,,35,30.6,7.49,0.2,,,,,,
914028,ISC-GEM,1913,1,9,2,55,5.37,,121.1,20.933,19.2,13.7,,35,21.8,6.61,0.24,,,,,,
914043,ISC-GEM,1913,3,14,8,45,5.37,,125.891,5.544,20.3,8.4,,15,14.7,7.88,0.33,,,,,,
914047,ISC-GEM,1913,3,26,21,35,49.96,,126.719,1.928,56.3,35.7,,70,20,6.21,0.2,,,,,,
914054,ISC-GEM,1913,4,14,7,48,23.41,,122.073,23.827,32.1,9.7,,15,6.4,6.34,0.24,,,,,,
914055,ISC-GEM,1913,4,18,13,13,21.25,,125.725,8.21,34.3,16.5,,15,16.3,6.27,0.38,,,,,,
914056,ISC-GEM,1913,4,18,19,2,33.49,,126.515,9.459,19.6,11.8,,15,17.1,6.62,0.39,,,,,,
914058,ISC-GEM,1913,4,24,10,15,25.29,,125.813,9.895,17.2,12.9,,15,18,6.63,0.21,,,,,,
914059,ISC-GEM,1913,4,24,12,15,27.64,,126.309,9.737,19.9,10.9,,15,17.1,6.43,0.23,,,,,,
914060,ISC-GEM,1913,4,25,17,56,33.93,,126.843,9.265,23.9,9,,15,11.8,7.19,0.48,,,,,,
914061,ISC-GEM,1913,4,26,4,6,12.22,,126.265,9.337,25.8,13.6,,35,17.1,6.23,0.39,,,,,,
914062,ISC-GEM,1913,4,26,4,21,5.62,,127.845,8.698,44.7,21.5,,15,25,6.45,0.32,,,,,,
914063,ISC-GEM,1913,4,28,18,39,26.2,,125.291,9.275,26.9,9.9,,15,16.1,6.33,0.32,,,,,,
914064,ISC-GEM,1913,4,29,3,8,22.96,,127.012,9.734,23.8,11.4,,15,11.8,6.21,0.25,,,,,,
914106,ISC-GEM,1913,12,15,17,43,23.06,,122.95,23.469,34.8,29.4,,15,8.2,6.31,0.2,,,,,,
914014,ISC-GEM,1914,10,23,6,18,45.56,,128.022,4.206,24.4,12.2,,35,31.1,7.48,0.34,,,,,,
913884,ISC-GEM,1915,2,28,18,59,11.1,,123.668,23.582,13.7,7.1,,20,7.1,7.21,0.57,,,,,,
913886,ISC-GEM,1915,3,12,14,48,32.48,,122.695,11.844,20.9,10.3,,15,6.5,6.82,0.39,,,,,,
913921,ISC-GEM,1915,7,2,13,23,29.67,,120.313,19.723,49.4,7.7,,15,16,5.96,0.38,,,,,,
913952,ISC-GEM,1915,11,18,20,19,26.59,,119.21,17.941,18.9,10,,15,25,6.27,0.21,,,,,,
913764,ISC-GEM,1916,2,14,10,1,46.13,,126.465,3.544,27.4,8.8,,70,19.1,6.44,0.2,,,,,,
