eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic,Unnamed: 20
907206,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,1,25,1,38,14.0,,126.458,7.612,17.1,8.9,,35.0,36.0,6.0,0.2,,907206|ISC-GEM|6.00|Mw
907275,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,3,15,3,56,38.78,,127.207,2.817,57.8,10.9,,35.0,14.2,5.69,0.42,,907275|ISC-GEM|5.69|Mw
907279,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,3,16,4,59,35.44,,120.421,19.527,15.5,9.3,,15.0,16.0,5.75,0.2,,907279|ISC-GEM|5.75|Mw
907303,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,4,2,4,14,28.99,,125.589,3.779,29.7,14.8,,15.0,25.0,5.74,0.2,,907303|ISC-GEM|5.74|Mw
907304,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,4,2,19,54,50.85,,127.083,4.398,17.7,9.3,,35.0,25.4,5.84,0.2,,907304|ISC-GEM|5.84|Mw
907410,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,5,19,15,3,45.26,,121.232,21.439,7.7,5.1,,15.0,9.2,6.0,0.2,,907410|ISC-GEM|6.00|Mw || 1953618|PAS|6.50|MS || 1953618|PAS|6.50|MS
907427,GUTE,GUTE|PAS-Ms,1930,5,30,12,56,55.0,,124.5,2.0,,,,300.0,,6.2,0.2,,1953640|PAS|6.20|MS
907443,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,6,11,10,23,59.21,,128.557,7.924,59.1,24.2,,15.0,25.0,5.77,0.2,,907443|ISC-GEM|5.77|Mw
907510,GUTE,GUTE|PAS-Ms,1930,7,21,14,6,2.0,,114.0,7.0,,,,35.0,,6.0,0.2,,1953745|PAS|6.00|MS
907538,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,8,7,23,47,44.01,,120.295,23.757,10.0,5.1,,15.0,2.7,5.97,0.2,,907538|ISC-GEM|5.97|Mw
907610,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,9,24,7,38,9.48,,128.93,11.258,63.5,20.8,,35.0,25.0,5.77,0.35,,907610|ISC-GEM|5.77|Mw
907611,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,9,24,12,6,53.01,,127.177,9.699,16.0,10.5,,15.0,11.8,6.02,0.27,,907611|ISC-GEM|6.02|Mw
907626,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,10,1,2,53,13.2,,122.277,17.14,15.7,9.8,,35.0,24.2,5.91,0.2,,907626|ISC-GEM|5.91|Mw
907727,ISC,ISC|PAS-Ms,1930,11,8,3,22,43.15,0.42,121.9172,3.7205,8.646,6.864,48.0,650.0,,6.9,0.2,,1954007|PAS|6.90|MS
907790,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,12,8,6,19,58.95,,120.409,23.331,4.9,3.4,,15.0,6.8,5.97,0.2,,907790|ISC-GEM|5.97|Mw
907791,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,12,8,8,1,2.81,,120.282,23.262,4.8,4.4,,15.0,6.8,6.21,0.27,,907791|ISC-GEM|6.21|Mw || 05951905|ISC|6.20|MS || 05951905|ISC|6.20|MS
907805,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,12,15,15,59,25.77,,120.268,23.37,5.7,4.6,,15.0,6.8,5.78,0.22,,907805|ISC-GEM|5.78|Mw
907817,GUTE,GUTE|PAS-Ms,1930,12,21,14,51,24.0,,122.25,20.0,,,,170.0,,6.9,0.2,,1954114|PAS|6.90|MS
907822,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,12,22,0,8,17.33,,120.351,23.418,5.6,3.8,,15.0,6.8,6.2,0.31,,907822|ISC-GEM|6.20|Mw
907824,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1930,12,22,4,19,46.13,,120.478,23.387,4.7,3.7,,15.0,6.8,6.21,0.2,,907824|ISC-GEM|6.21|Mw
906543,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,1,1,23,52,28.39,,122.463,23.951,6.1,3.3,,15.0,14.3,6.28,0.49,,906543|ISC-GEM|6.28|Mw
906588,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,1,24,13,41,18.23,,126.036,10.442,11.8,7.2,,35.0,19.6,6.11,0.3,,906588|ISC-GEM|6.11|Mw || 1952447|PAS|6.20|MS || 1952447|PAS|6.20|MS
906642,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,2,27,9,37,44.44,,126.126,2.052,10.6,5.8,,35.0,20.6,6.44,0.2,,906642|ISC-GEM|6.44|Mw || 1952528|PAS|6.80|MS || 05951924|ISC|6.40|MS || 1952528|PAS|6.80|MS || 05951924|ISC|6.40|MS
906681,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,3,18,20,13,41.31,,126.276,5.822,8.0,6.3,,35.0,35.4,6.65,0.37,,906681|ISC-GEM|6.65|Mw || 1952587|PAS|7.00|MS || 05951930|ISC|6.70|MS || 1952587|PAS|7.00|MS || 05951930|ISC|6.70|MS
906682,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,3,19,6,25,2.51,,120.382,18.104,6.5,5.3,,15.0,27.6,6.68,0.37,,906682|ISC-GEM|6.68|Mw || 1952590|PAS|6.90|MS || 05951931|ISC|6.70|MS || 1952590|PAS|6.90|MS || 05951931|ISC|6.70|MS
906684,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,3,22,15,7,17.31,,122.381,15.602,27.0,11.7,,15.0,13.1,5.84,0.2,,906684|ISC-GEM|5.84|Mw
906692,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,3,30,13,38,8.42,,120.76,18.602,15.1,13.1,,35.0,18.9,5.75,0.2,,906692|ISC-GEM|5.75|Mw
906783,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,5,17,9,28,34.12,,117.554,22.9,12.2,6.8,,15.0,25.0,5.72,0.24,,906783|ISC-GEM|5.72|Mw
906789,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,5,24,0,13,6.11,,125.616,10.267,12.5,9.2,,15.0,42.2,6.1,0.2,,906789|ISC-GEM|6.10|Mw || 1952749|PAS|6.20|MS || 1952749|PAS|6.20|MS
906801,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,5,29,8,26,20.38,,120.626,13.189,44.3,18.9,,35.0,18.4,5.55,0.2,,906801|ISC-GEM|5.55|Mw
906870,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,7,12,16,45,29.41,,123.889,12.71,7.9,6.3,,15.0,8.0,6.47,0.2,,906870|ISC-GEM|6.47|Mw || 1952873|PAS|6.50|MS || 05951943|ISC|6.50|MS || 1952873|PAS|6.50|MS || 05951943|ISC|6.50|MS
907028,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,9,22,1,25,35.39,,122.556,15.263,23.7,9.8,,15.0,13.1,5.78,0.31,,907028|ISC-GEM|5.78|Mw
907096,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,10,26,11,57,36.03,,126.398,7.956,28.2,13.3,,35.0,33.8,5.86,0.41,,907096|ISC-GEM|5.86|Mw || 1953222|PAS|5.60|MS || 1953222|PAS|5.60|MS
907097,GUTE,GUTE|PAS-Ms,1931,10,26,14,42,8.0,,126.25,13.25,,,,35.0,,5.6,0.2,,1953224|PAS|5.60|MS
907097,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,10,26,14,42,12.77,,125.719,12.188,15.8,11.4,,35.0,13.4,5.67,0.29,,907097|ISC-GEM|5.67|Mw
907099,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1931,10,28,5,35,19.44,,120.875,18.871,11.1,6.8,,25.0,13.6,6.19,0.36,,907099|ISC-GEM|6.19|Mw || 1953227|PAS|6.20|MS || 05951970|ISC|6.20|MS || 1953227|PAS|6.20|MS || 05951970|ISC|6.20|MS
905983,GUTE,GUTE|PAS-Ms,1932,1,18,20,26,47.0,,121.0,19.5,,,,35.0,,5.6,0.2,,1951428|PAS|5.60|MS
906124,GUTE,GUTE|PAS-Ms,1932,4,29,17,30,40.0,,127.0,7.0,,,,35.0,,5.6,0.2,,1951665|PAS|5.60|MS
906202,GUTE,GUTE|PAS-Ms,1932,6,6,6,26,21.0,,122.5,2.0,,,,280.0,,5.8,0.2,,1951795|PAS|5.80|MS
906213,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,6,8,14,54,32.81,,125.779,8.146,16.2,11.2,,35.0,25.1,5.77,0.2,,906213|ISC-GEM|5.77|Mw || 1951816|PAS|6.20|MS || 1951816|PAS|6.20|MS
906216,ISC,ISC|PAS-Ms,1932,6,10,20,21,25.4,0.51,127.3387,5.2087,9.883,7.289,63.0,105.0,,6.8,0.2,,1951822|PAS|6.80|MS
906223,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,6,13,20,57,36.11,,119.432,18.224,9.0,8.3,,15.0,4.1,6.08,0.26,,906223|ISC-GEM|6.08|Mw || 1951833|PAS|6.20|MS || 1951833|PAS|6.20|MS
906224,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,6,14,5,59,35.3,,120.959,18.323,8.4,7.1,,35.0,18.9,6.11,0.26,,906224|ISC-GEM|6.11|Mw || 1951835|PAS|6.50|MS || 1951835|PAS|6.50|MS
906226,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,6,14,11,20,14.7,,119.674,17.632,13.8,11.5,,15.0,17.3,5.94,0.36,,906226|ISC-GEM|5.94|Mw || 1951839|PAS|6.00|MS || 1951839|PAS|6.00|MS
906281,GUTE,GUTE|PAS-Ms,1932,7,9,20,23,54.0,,126.5,5.5,,,,120.0,,6.0,0.2,,1951929|PAS|6.00|MS
906284,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,7,11,8,21,34.53,,125.289,12.34,22.4,15.1,,35.0,11.1,5.82,0.2,,906284|ISC-GEM|5.82|Mw || 1951937|PAS|5.60|MS || 1951937|PAS|5.60|MS
906297,GUTE,GUTE|PAS-Ms,1932,7,18,5,2,5.0,,120.0,14.0,,,,100.0,,6.0,0.2,,1951956|PAS|6.00|MS
906320,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,8,5,0,45,48.24,,122.522,17.691,54.1,31.3,,15.0,7.2,5.63,0.2,,906320|ISC-GEM|5.63|Mw
906345,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,8,21,4,15,37.91,,122.286,23.998,5.5,4.2,,25.0,14.3,6.49,0.29,,906345|ISC-GEM|6.49|Mw
906349,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,8,24,12,10,35.82,,120.381,16.456,10.4,7.6,,15.0,8.6,6.09,0.21,,906349|ISC-GEM|6.09|Mw || 1952052|PAS|6.20|MS || 1952052|PAS|6.20|MS
906370,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,9,15,11,13,20.17,,120.658,5.947,10.8,8.0,,15.0,25.0,6.17,0.28,,906370|ISC-GEM|6.17|Mw || 1952089|PAS|6.20|MS || 1952089|PAS|6.20|MS
906414,GUTE,GUTE|PAS-Ms,1932,10,9,12,49,49.0,,122.5,23.5,,,,130.0,,6.0,0.2,,1952154|PAS|6.00|MS
906435,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,10,23,21,27,55.65,,122.543,23.948,6.9,4.1,,35.0,14.3,6.18,0.51,,906435|ISC-GEM|6.18|Mw
906460,GUTE,GUTE|PAS-Ms,1932,11,18,13,47,16.0,,124.5,2.0,,,,280.0,,6.5,0.2,,1952237|PAS|6.50|MS
906486,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1932,12,4,8,11,17.62,,121.039,2.433,7.3,5.3,,15.0,4.5,6.99,0.48,,906486|ISC-GEM|6.99|Mw || 1952279|PAS|7.10|MS || 05952023|ISC|7.20|MS || 1952279|PAS|7.10|MS || 05952023|ISC|7.20|MS
