eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic

877990,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,1,12,1,52,40.29,,122.323,23.401,5.8,4.4,,10.0,12.8,5.84,0.2,
879799,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,7,14,10,27,9.01,,127.48,4.849,6.9,5.0,,60.0,4.9,5.99,0.2,
880323,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,9,14,0,34,28.67,,122.293,16.79,7.7,6.3,,35.0,24.2,5.56,0.7,
880356,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,9,19,3,39,39.42,,119.709,15.724,6.3,5.2,,35.0,13.3,5.89,0.44,
880993,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,12,14,23,51,30.01,,126.249,2.999,6.1,4.0,,65.0,5.0,6.31,0.2,
881019,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1960,12,18,18,20,48.95,,125.987,8.668,10.1,6.6,,35.0,26.6,5.84,0.2,
876599,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,5,19,16,37,26.44,,123.637,23.686,6.1,5.0,,35.0,7.1,5.93,0.2,
17290472,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,6,19,1,45,24.28,,121.886,12.52,8.1,5.9,,25.0,13.5,5.99,0.2,
876974,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,7,13,21,44,34.94,,122.704,22.989,6.4,5.5,,25.0,11.1,5.94,0.22,
876979,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,7,15,0,17,50.54,,120.641,13.302,10.6,7.0,,25.0,3.9,5.93,0.24,
17291103,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1961,10,23,14,39,37.41,,126.665,3.679,6.5,4.2,,15.0,19.1,6.19,0.28,
874313,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,3,2,13,3,2.5,,126.606,5.508,8.5,5.3,,25.0,24.0,5.91,0.23,
874348,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,3,11,19,19,10.75,,126.586,8.851,6.0,4.2,,44.6,5.3,6.3,0.48,
17291518,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,3,18,20,18,55.77,,114.639,23.82,5.6,5.0,,15.0,25.0,6.0,0.3,
17292081,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,6,30,19,29,53.53,,122.221,16.313,6.7,5.4,,20.0,20.7,5.88,0.58,
875035,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,7,11,12,40,32.85,,122.177,11.916,8.0,5.0,,25.0,3.1,5.92,0.23,
875037,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,7,13,3,31,54.66,,122.553,9.811,8.8,5.7,,25.0,3.7,5.89,0.2,
875110,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,7,31,5,13,7.56,,120.82,18.805,7.3,6.5,,35.0,13.6,5.93,0.2,
17292251,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1962,8,17,5,4,32.64,,121.604,10.478,5.7,4.0,,20.0,3.9,5.97,0.26,
871735,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,1,24,22,27,33.75,,126.864,8.0,8.8,5.2,,50.0,15.6,5.95,0.36,
17293446,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,3,14,8,0,14.08,,120.117,18.916,6.0,4.8,,25.0,4.7,5.86,0.29,
872024,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,3,24,9,43,19.5,,125.677,8.925,9.0,6.1,,35.0,4.8,5.84,0.2,
17293721,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,5,8,15,24,0.84,,125.555,5.274,9.5,6.0,,60.0,6.3,5.69,0.33,
17293778,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,5,22,15,42,50.03,,127.895,4.323,6.7,4.7,,58.2,4.9,5.81,0.2,
872470,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,6,6,5,18,56.31,,120.572,19.896,4.4,3.4,,24.8,4.5,6.01,0.4,
17293847,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,6,7,15,50,0.11,,121.798,18.903,6.4,4.2,,35.0,38.2,5.77,0.44,
872542,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,6,19,9,9,4.2,,126.54,4.588,6.0,4.3,,65.0,6.0,6.07,0.2,
873848,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1963,12,21,13,9,11.64,,119.768,16.172,6.9,5.0,,44.9,5.3,5.91,0.2,
871050,ISC-EHB,ISC-EHB|USCGS-mb,1964,1,4,10,38,58.18,,121.721,21.738,16.2,12.2,53.0,15.0,,4.79,0.283,
871256,ISC,ISC|USCGS-mb,1964,1,14,15,6,40.24,0.92,120.4907,13.6994,20.27,12.67,144.0,70.0,,4.56,0.283,
871334,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,1,18,12,4,44.64,,120.683,23.097,4.2,4.0,,48.1,4.8,6.5,0.2,
871336,ISC,ISC|USCGS-mb,1964,1,18,12,32,37.92,0.84,122.9998,23.5368,23.53,15.96,82.0,29.0,,4.9,0.283,
871340,ISC,ISC|USCGS-mb,1964,1,18,13,43,4.39,0.58,120.8768,23.2253,11.75,7.275,97.0,12.0,,4.56,0.283,
871343,ISC,ISC|USCGS-mb,1964,1,18,14,45,43.43,0.68,122.1908,20.3506,18.8,9.825,87.0,40.0,,5.02,0.283,
871372,ISC,ISC|USCGS-mb,1964,1,19,8,47,12.81,0.72,121.0579,21.914,11.46,7.437,101.0,19.0,,4.67,0.283,
871381,EHB,EHB|USCGS-mb,1964,1,19,16,12,54.33,,120.768,23.329,15.8,12.5,78.0,48.0,13.0,4.9,0.283,
871396,ISC-EHB,ISC-EHB|USCGS-mb,1964,1,20,4,46,53.63,,126.507,8.317,18.9,8.7,69.0,40.0,,5.02,0.283,
871405,ISC,ISC|USCGS-mb,1964,1,20,15,39,40.32,0.57,120.2912,23.2469,7.436,4.945,102.0,16.0,,5.25,0.283,
871413,ISC-EHB,ISC-EHB|USCGS-mb,1964,1,20,20,38,17.33,,120.707,18.919,9.7,7.4,54.0,38.0,6.8,4.9,0.283,
871430,ISC-EHB,ISC-EHB|USCGS-mb,1964,1,21,22,18,10.42,,125.234,10.47,12.3,8.2,66.0,15.0,,5.37,0.283,
871447,ISC,ISC|USCGS-mb,1964,1,22,18,48,32.84,0.64,126.868,7.5491,23.0,12.47,64.0,150.0,,4.21,0.283,
871473,ISC-EHB,ISC-EHB|USCGS-mb,1964,1,23,16,8,54.0,,122.506,11.371,21.5,11.2,61.0,24.0,,4.56,0.283,
871528,ISC-EHB,ISC-EHB|USCGS-mb,1964,1,26,10,2,13.95,,120.361,23.121,7.9,7.3,117.0,15.0,,5.02,0.283,
871582,ISC-EHB,ISC-EHB|USCGS-mb,1964,1,29,8,47,31.12,,125.64,2.949,16.9,8.6,57.0,129.0,8.0,5.02,0.283,
871604,ISC,ISC|USCGS-mb,1964,1,30,9,6,1.92,0.86,121.3576,11.262,29.07,11.93,75.0,16.0,,4.21,0.283,
871629,ISC,ISC|USCGS-mb,1964,1,31,12,30,32.97,0.78,120.5505,23.1872,10.66,5.908,113.0,16.0,,4.56,0.283,
870381,ISC,ISC|USCGS-mb,1964,2,5,15,23,23.39,0.8,126.5646,23.9716,18.33,11.11,155.0,25.0,,4.21,0.283,
870439,EHB,EHB|USCGS-mb,1964,2,7,8,34,10.36,,126.517,23.94,18.5,17.2,87.0,33.0,8.9,4.9,0.283,
870471,ISC-EHB,ISC-EHB|USCGS-mb,1964,2,8,9,55,59.04,,126.187,9.216,12.0,7.0,69.0,35.0,,5.95,0.283,
