eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
20000000,GEM-GHEC,1619,11,30,4,0,0.0,nan,121.6,18.17,nan,nan,nan,33.0,nan,8.1,nan,
20000001,GEM-GHEC,1621,12,1,12,0,0.0,nan,122.1,11.7,nan,nan,nan,33.0,nan,7.252,nan,
20000002,GEM-GHEC,1627,9,1,12,0,0.0,nan,121.8,18.7,nan,nan,nan,33.0,nan,7.57,nan,
20000003,GEM-GHEC,1645,11,30,12,0,0.0,nan,121.2,15.6,nan,nan,nan,33.0,nan,7.994,nan,
20000004,GEM-GHEC,1677,12,7,12,0,0.0,nan,119.5,14.5,nan,nan,nan,33.0,nan,7.358,nan,
20000005,GEM-GHEC,1688,10,19,12,0,0.0,nan,122.2,16.95,nan,nan,nan,33.0,nan,7.57,nan,
20000006,GEM-GHEC,1787,7,12,22,45,0.0,nan,122.25,11.05,nan,nan,nan,33.0,nan,7.464,nan,
20000007,GEM-GHEC,1824,10,26,12,0,0.0,nan,121.9,14.2,nan,nan,nan,33.0,nan,7.464,nan,
20000008,GEM-GHEC,1852,9,16,10,30,0.0,nan,120.4,13.95,nan,nan,nan,51.0,nan,7.676,nan,
20000009,GEM-GHEC,1871,11,5,12,0,0.0,nan,126.9,8.9,nan,nan,nan,33.0,nan,7.358,nan,
20000011,GEM-GHEC,1871,12,8,12,0,0.0,nan,123.75,7.3,nan,nan,nan,350.0,nan,7.02,nan,
20000012,GEM-GHEC,1876,7,25,12,0,0.0,nan,126.4,10.1,nan,nan,nan,33.0,nan,7.252,nan,
20000013,GEM-GHEC,1880,7,18,4,40,0.0,nan,121.85,16.0,nan,nan,nan,33.0,nan,7.676,nan,
20000014,GEM-GHEC,1885,2,22,12,0,0.0,nan,127.1,7.9,nan,nan,nan,51.0,nan,7.252,nan,
20000015,GEM-GHEC,1885,7,23,2,45,0.0,nan,123.6,8.43,nan,nan,nan,33.0,nan,7.04,nan,
20000016,GEM-GHEC,1887,2,2,12,0,0.0,nan,122.05,11.45,nan,nan,nan,33.0,nan,7.358,nan,
20000017,GEM-GHEC,1889,10,6,12,0,0.0,nan,127.0,5.9,nan,nan,nan,51.0,nan,7.358,nan,
20000018,GEM-GHEC,1891,6,24,12,0,0.0,nan,126.0,7.6,nan,nan,nan,33.0,nan,7.252,nan,
20000019,GEM-GHEC,1893,6,21,7,30,0.0,nan,125.83,6.88,nan,nan,nan,33.0,nan,7.358,nan,
20000020,GEM-GHEC,1897,9,21,5,15,0.0,nan,122.0,6.0,nan,nan,nan,33.0,nan,8.7,nan,
20000021,GEM-GHEC,1897,10,19,11,52,0.0,nan,125.0,12.4,nan,nan,nan,33.0,nan,8.206,nan,
20000022,GEM-GHEC,1901,12,14,12,0,0.0,nan,122.0,14.0,nan,nan,nan,33.0,nan,7.04,nan,
20000023,GEM-GHEC,1903,12,28,12,0,0.0,nan,127.0,7.0,nan,nan,nan,51.0,nan,7.1,nan,
610548604,ISC-GEM,1905,5,31,18,23,32.75,nan,120.203,18.895,132.9,24.9,nan,15.0,5.0,6.8,0.46,
610548608,ISC-GEM,1905,7,16,18,46,55.43,nan,124.03,9.386,274.2,83.8,nan,35.0,32.0,6.06,0.51,
610548621,ISC-GEM,1905,12,10,18,9,58.89,nan,125.858,13.445,32.0,18.4,nan,15.0,6.3,6.8,0.2,
16957904,ISC-GEM,1906,4,13,19,17,48.21,nan,120.463,23.598,27.4,13.2,nan,15.0,6.8,6.99,0.39,
16957908,ISC-GEM,1906,6,19,11,22,36.5,nan,122.582,19.008,28.0,15.4,nan,15.0,25.0,7.09,0.3,
