eventID,year,month,day,hour,minute,second,timeError,latitude,longitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,magnitudeType,location,event_type
61214779,2017,4,28,20,23,14,,5.05,125.28,,,,57,,7.2,Ms,047 km S 26° W of Sarangani (Davao Occidental),TECTONIC
61217006,2017,1,10,6,13,0,,4.38,122.84,,,,654,,7.2,Mw,235 km S 26° E of Tongkil (Sulu),TECTONIC
61221191,2018,12,29,3,39,0,,5.48,127.05,,,,60,,7.2,Mw,168 km S 40° E of Governor Generoso (Davao Oriental),TECTONIC
61255299,2021,8,11,17,46,12,,6.3,126.87,,,,59,,7.1,Mw,097 km S 66° E of Governor Generoso (Davao Oriental),TECTONIC
61257513,2021,1,21,12,23,5,,5.09,127.61,,,,102,,7.1,Mw,236 km S 67° E of Jose Abad Santos (Davao Occidental),TECTONIC
61271706,2022,7,27,0,43,24,,17.63,120.63,,,,15,,7,Mw,003 km N 50° W of Tayum (Abra),TECTONIC
61282615,2023,1,18,6,6,10,,2.86,127.04,,,,15,,7,Mw,335 km S 32° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),TECTONIC
61229410,2019,12,15,6,11,49,,6.76,125.13,,,,9,,6.9,Ms,013 km N 75° W of Matanao (Davao Del Sur),TECTONIC
61216664,2017,2,10,14,3,0,,9.8,125.35,,,,10,,6.7,Mw,016 km N 77° W of Surigao City,TECTONIC
61274097,2022,3,22,17,41,0,,23.43,121.57,,,,15,,6.7,Mw,294 km N 06° W of Itbayat (Batanes),TECTONIC
61237227,2019,10,29,1,4,43,,6.81,125.03,,,,7,,6.6,Ms,022 km S 79° E of Tulunan (Cotabato),TECTONIC
61241383,2020,8,18,0,3,47,,11.98,124.01,,,,13,,6.6,Mw,005 km S 20° E of Cataingan (Masbate),TECTONIC
61247817,2020,6,4,8,49,33,,2.92,128.83,,,,123,,6.6,Mw,514 km S 36° E of Governor Generoso (Davao Oriental),TECTONIC
61258344,2021,7,23,20,48,59,,13.71,120.57,,,,111,,6.6,Mw,015 km S 28° W of Calatagan (Batangas),TECTONIC
61214365,2016,9,23,22,53,8,,6.59,126.5,,,,38,,6.5,Ms,051km S 38° E of Mati (Davao Oriental),TECTONIC
61217552,2017,7,6,8,3,53,,11.11,124.69,,,,2,,6.5,Ms,015 km N 39° E of Ormoc City (Leyte),TECTONIC
61226880,2019,4,23,5,37,51,,11.79,125.37,,,,61,,6.5,Ms,010 km N 65° W of San Julian (Eastern Samar),TECTONIC
61236844,2019,10,31,1,11,18,,6.92,125.06,,,,8,,6.5,Ms,027 km N 75° E of Tulunan (Cotabato),TECTONIC
