eventID,originID,magnitudeID,value,sigma,magType,magAgency
914258,02318590,02318590|ABE1|7.20|mB,7.2,0.0,mB,ABE1
914258,02318590,02318590|GUTE|7.20|UK,7.2,0.0,UK,GUTE
914258,02318590,02318590|B&D|7.20|UK,7.2,0.0,UK,B&D
914258,1961889,1961889|PAS|7.20|MS,7.2,0.0,MS,PAS
914262,02318594,02318594|ABE1|7.00|mB,7.0,0.0,mB,ABE1
914262,02318594,02318594|P&S|7.00|Ms,7.0,0.0,Ms,P&S
914262,02318594,02318594|AN2|7.10|Ms,7.1,0.0,Ms,AN2
914262,02318594,02318594|P&S|7.10|Mw,7.1,0.0,Mw,P&S
914262,02318594,02318594|GUTE|7.60|UK,7.6,0.0,UK,GUTE
914262,1961893,1961893|PAS|7.60|MS,7.6,0.0,MS,PAS
914263,02318595,02318595|ABE1|7.10|mB,7.1,0.0,mB,ABE1
914263,02318595,02318595|AN2|7.00|Ms,7.0,0.0,Ms,AN2
914263,02318595,02318595|B&D|7.20|UK,7.2,0.0,UK,B&D
914263,02318595,02318595|GUTE|7.40|UK,7.4,0.0,UK,GUTE
914263,1961894,1961894|PAS|7.40|MS,7.4,0.0,MS,PAS
16957964,1961897,1961897|PAS|7.50|MS,7.5,0.0,MS,PAS
16957964,02318603,02318603|ABE1|7.50|mB,7.5,0.0,mB,ABE1
16957964,02318603,02318603|GUTE|7.50|UK,7.5,0.0,UK,GUTE
16957964,02318603,02318603|B&D|7.90|UK,7.9,0.0,UK,B&D
914225,02318657,02318657|ABE1|7.10|mB,7.1,0.0,mB,ABE1
914225,02318657,02318657|UTSU|7.20|Mj,7.2,0.0,Mj,UTSU
914225,02318657,02318657|GUTE|7.30|UK,7.3,0.0,UK,GUTE
914225,02318657,02318657|B&D|7.30|UK,7.3,0.0,UK,B&D
914225,1961856,1961856|PAS|7.30|MS,7.3,0.0,MS,PAS
914226,02318658,02318658|ABE1|7.10|mB,7.1,0.0,mB,ABE1
914226,02318658,02318658|GUTE|7.00|UK,7.0,0.0,UK,GUTE
914226,02318658,02318658|B&D|7.00|UK,7.0,0.0,UK,B&D
914226,1961857,1961857|PAS|7.00|MS,7.0,0.0,MS,PAS
16958127,1961850,1961850|PAS|7.50|MS,7.5,0.0,MS,PAS
16958127,02318731,02318731|ABE1|7.40|mB,7.4,0.0,mB,ABE1
16958127,02318731,02318731|AN2|7.60|Ms,7.6,0.0,Ms,AN2
16958127,02318731,02318731|P&S|7.60|Mw,7.6,0.0,Mw,P&S
16958127,02318731,02318731|B&D|7.20|UK,7.2,0.0,UK,B&D
16958127,02318731,02318731|GUTE|7.50|UK,7.5,0.0,UK,GUTE
16958127,05951197,05951197|ISC|7.60|MS,7.6,0.1,MS,ISC
914153,02318736,02318736|BJI|6.80|Ms,6.8,0.0,Ms,BJI
914153,02318736,02318736|GUTE|6.60|UK,6.6,0.0,UK,GUTE
914153,1961784,1961784|PAS|6.80|MS,6.8,0.0,MS,PAS
16958154,1961799,1961799|PAS|7.80|MS,7.8,0.0,MS,PAS
16958154,02318749,02318749|ABE1|7.60|mB,7.6,0.0,mB,ABE1
16958154,02318749,02318749|AN2|7.50|Ms,7.5,0.0,Ms,AN2
16958154,02318749,02318749|P&S|7.50|Mw,7.5,0.0,Mw,P&S
16958154,02318749,02318749|GUTE|7.80|UK,7.8,0.0,UK,GUTE
16958154,05951206,05951206|ISC|7.70|MS,7.7,0.1,MS,ISC
914136,02318787,02318787|ABE1|7.10|mB,7.1,0.0,mB,ABE1
914136,02318787,02318787|P&S|7.20|Ms,7.2,0.0,Ms,P&S
914136,02318787,02318787|AN2|7.30|Ms,7.3,0.0,Ms,AN2
914136,02318787,02318787|P&S|7.20|Mw,7.2,0.0,Mw,P&S
914136,02318787,02318787|GUTE|7.50|UK,7.5,0.0,UK,GUTE
914136,1961767,1961767|PAS|7.50|MS,7.5,0.0,MS,PAS
914026,02318802,02318802|BJI|6.70|Ms,6.7,0.0,Ms,BJI
914027,02318803,02318803|BJI|6.50|Ms,6.5,0.0,Ms,BJI
914029,02318804,02318804|ABE1|7.10|mB,7.1,0.0,mB,ABE1
914029,02318804,02318804|AN1|7.20|Ms,7.2,0.0,Ms,AN1
914029,02318804,02318804|P&S|7.20|Mw,7.2,0.0,Mw,P&S
914029,02318804,02318804|GUTE|7.10|UK,7.1,0.0,UK,GUTE
914029,02318804,02318804|B&D|7.30|UK,7.3,0.0,UK,B&D
914029,1961476,1961476|PAS|7.10|MS,7.1,0.0,MS,PAS
914043,1961514,1961514|PAS|7.90|MS,7.9,0.0,MS,PAS
914043,02318810,02318810|ABE1|7.70|mB,7.7,0.0,mB,ABE1
914043,02318810,02318810|AN1|7.90|Ms,7.9,0.0,Ms,AN1
914043,02318810,02318810|P&S|7.90|Mw,7.9,0.0,Mw,P&S
914043,02318810,02318810|GUTE|7.90|UK,7.9,0.0,UK,GUTE
914043,05951215,05951215|ISC|7.80|MS,7.8,0.1,MS,ISC
914060,02318815,02318815|ABE1|7.00|mB,7.0,0.0,mB,ABE1
914060,02318815,02318815|P&S|7.10|Ms,7.1,0.0,Ms,P&S
914060,02318815,02318815|AN1|7.20|Ms,7.2,0.0,Ms,AN1
914060,02318815,02318815|P&S|7.20|Mw,7.2,0.0,Mw,P&S
914060,02318815,02318815|B&D|7.70|UK,7.7,0.0,UK,B&D
913996,02318850,02318850|BJI|6.30|Ms,6.3,0.0,Ms,BJI
913996,02318850,02318850|GUTE|6.60|UK,6.6,0.0,UK,GUTE
913996,1961426,1961426|PAS|6.80|MS,6.8,0.0,MS,PAS
914014,02318859,02318859|P&S|7.50|Ms,7.5,0.0,Ms,P&S
914014,02318859,02318859|AN1|7.60|Ms,7.6,0.0,Ms,AN1
914014,02318859,02318859|P&S|7.60|Mw,7.6,0.0,Mw,P&S
914014,02318859,02318859|B&D|7.90|UK,7.9,0.0,UK,B&D
914014,05951229,05951229|ISC|7.50|MS,7.5,0.2,MS,ISC
913884,02318867,02318867|BJI|7.70|mb,7.7,0.0,mb,BJI
913884,02318867,02318867|UTSU|7.40|Mj,7.4,0.0,Mj,UTSU
913884,02318867,02318867|B&D|7.50|UK,7.5,0.0,UK,B&D
913884,05951232,05951232|ISC|7.40|MS,7.4,0.1,MS,ISC
913886,02318869,02318869|ABE1|7.10|mB,7.1,0.0,mB,ABE1
913886,02318869,02318869|ABE1|6.60|Ms,6.6,0.0,Ms,ABE1
913886,02318869,02318869|BJI|6.60|Ms,6.6,0.0,Ms,BJI
913886,02318869,02318869|GUTE|7.00|UK,7.0,0.0,UK,GUTE
913886,1961278,1961278|PAS|7.00|MS,7.0,0.0,MS,PAS
