eventID,datetime,year,month,day,hour,minute,second,latitude,longitude,depth,magnitude,location,magnitudeType,event_type
61241981,2020-08-01 17:08:56+00:00,2020,08,01,17,08,56,7.2,124.32,537,6.4,010 km S 89° E of Cotabato City (Maguindanao),Mw,TECTONIC
61282185,2023-02-01 10:44:46+00:00,2023,02,01,10,44,46,7.66,126.07,17,6,002 km S 66° W of Compostela (Davao De Oro),Mw,TECTONIC
61232196,2019-07-01 16:59:24+00:00,2019,07,01,16,59,24,9.19,124.32,554,5.9,051 km S 29° E of Lila (Bohol),Ms,TECTONIC
61236571,2019-11-01 02:33:54+00:00,2019,11,01,02,33,54,2.73,126.82,33,5.5,334 km S 26° E of Sarangani (Davao Occidental),Ms,TECTONIC
61227589,2019-04-01 02:16:53+00:00,2019,04,01,02,16,53,10.61,125.93,28,5.4,047 km N 54° E of Loreto (Dinagat),Ms,TECTONIC
61232976,2019-06-01 09:45:26+00:00,2019,06,01,09,45,26,6.09,126.7,76,5.4,093 km S 48° E of Governor Generoso (Davao Oriental),Ms,TECTONIC
61249039,2020-03-01 21:19:20+00:00,2020,03,01,21,19,20,11.32,124.55,10,5.4,009 km S 54° E of Leyte (Leyte),Mw,TECTONIC
61254286,2021-04-01 10:12:22+00:00,2021,04,01,10,12,22,3.41,126.58,27,5.2,241 km S 31° E of Sarangani (Davao Occidental),Ms,TECTONIC
61233871,2019-03-01 01:00:40+00:00,2019,03,01,01,00,40,4.93,125.46,186,5.1,055 km S 02° W of Sarangani (Davao Occidental),Ms,TECTONIC
61268491,2022-08-01 17:10:12+00:00,2022,08,01,17,10,12,11.33,125.48,42,5.1,011 km N 33° W of General Macarthur (Eastern Samar),Mw,TECTONIC
61223415,2018-06-01 10:21:38+00:00,2018,06,01,10,21,38,7.32,123.9,588,5,033 km S 45° W of Balabagan (Lanao del Sur),Ms,TECTONIC
61236548,2019-11-01 06:07:55+00:00,2019,11,01,06,07,55,6.8,125.11,2,5,018 km S 07° E of Makilala (Cotabato),Ms,TECTONIC
61266685,2022-04-01 01:35:52+00:00,2022,04,01,01,35,52,9.9,126.97,16,5,090 km N 82° E of General Luna (Surigao Del Norte),Mw,TECTONIC
61262402,2021-05-01 14:26:44+00:00,2021,05,01,14,26,44,4.84,125.6,173,4.9,067 km S 18° E of Sarangani (Davao Occidental),Mw,TECTONIC
61242987,2020-12-01 14:09:51+00:00,2020,12,01,14,09,51,2.99,128.64,239,4.8,447 km S 53° E of Sarangani (Davao Occidental),Ms,TECTONIC
61264510,2021-10-01 12:48:21+00:00,2021,10,01,12,48,21,18.71,121.06,56,4.8,011 km N 12° W of Claveria (Cagayan),Mw,TECTONIC
61266680,2022-04-01 09:32:03+00:00,2022,04,01,09,32,03,9.03,126.33,10,4.8,009 km N 35° E of Bayabas (Surigao Del Sur),Ms,TECTONIC
61203623,2015-03-01 07:01:00+00:00,2015,03,01,07,01,00,4.54,125.85,37,4.7,107 km S 23° E of Sarangani (Davao Occidental),Ms,TECTONIC
61205113,2015-03-01 07:01:00+00:00,2015,03,01,07,01,00,4.54,125.85,37,4.7,107 km S 23° E of Sarangani (Davao Occidental),Ms,TECTONIC
61208721,2015-03-01 07:01:00+00:00,2015,03,01,07,01,00,4.54,125.85,37,4.7,107 km S 23° E of Sarangani (Davao Occidental),Ms,TECTONIC
61233841,2019-03-01 20:51:00+00:00,2019,03,01,20,51,00,17.06,120.6,100,4.7,002 km N 70° W of Sigay (Ilocos Sur),Ms,TECTONIC
61200763,2015-08-01 15:17:00+00:00,2015,08,01,15,17,00,7.61,125.44,8,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61202047,2015-08-01 15:17:00+00:00,2015,08,01,15,17,00,7.61,125.44,8,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61202989,2015-08-01 15:17:00+00:00,2015,08,01,15,17,00,7.61,125.44,8,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61204479,2015-08-01 15:17:00+00:00,2015,08,01,15,17,00,7.61,125.44,8,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61206119,2015-08-01 15:17:00+00:00,2015,08,01,15,17,00,7.61,125.44,8,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61207047,2015-08-01 15:17:00+00:00,2015,08,01,15,17,00,7.61,125.44,8,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61208087,2015-08-01 15:17:00+00:00,2015,08,01,15,17,00,7.61,125.44,8,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61209486,2015-08-01 15:17:00+00:00,2015,08,01,15,17,00,7.61,125.44,8,4.6,028 km N 47° W of Santo Tomas (Davao Del Norte),Ms,TECTONIC
61214196,2016-10-01 22:22:39+00:00,2016,10,01,22,22,39,9.72,125.34,6,4.6,013 km N 31° W of Malimono (Surigao Del Norte),Ms,TECTONIC
