eventID,Agency,year,month,day,hour,minute,second,timeError,latitude,longitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
PS1992029,PS1992,1903,12,28,2,56,0,,7,127,,,,60,,7,,Ms
PS1992068,PS1993,1907,4,18,20,59,0,,14,123,,,,60,,7,,Ms
PS1992087,PS1994,1910,12,16,14,45,0,,4.5,126.5,,,,60,,7.5,,Ms
PS1992091,PS1995,1911,7,12,4,7,0,,9,126,,,,50,,7.4,,Ms
PS1992099,PS1996,1912,8,17,19,11,0,,4,127,,,,60,,7.2,,Ms
PS1992103,PS1997,1913,3,14,8,45,0,,4.5,126.5,,,,40,,7.8,,Ms
PS1992104,PS1998,1913,4,25,17,56,0,,9.5,127,,,,60,,7.1,,Ms
PS1992141,PS1999,1918,2,13,6,7,0,,24,117,,,,60,,7.2,,Ms
PS1992145,PS2000,1918,8,15,12,18,0,,5.7,123.5,,,,60,,7.8,,Ms
PS1992152,PS2001,1919,1,1,1,33,0,,8,126,,,,60,,7,,Ms
PS1992160,PS2002,1920,6,5,4,21,0,,23.5,122,,,,60,,7.8,,Ms
PS1992167,PS2003,1921,11,11,18,36,0,,8,127,,,,60,,7.3,,Ms
PS1992180,PS2004,1923,3,2,16,48,0,,6.5,124,,,,60,,7,,Ms
PS1992191,PS2005,1924,4,14,16,20,0,,6.5,126.5,,,,60,,8.1,,Ms
PS1992195,PS2006,1924,8,30,3,4,0,,8.5,126.5,,,,60,,7.1,,Ms
PS1992199,PS2007,1925,11,13,12,14,0,,13,125,,,,60,,7.1,,Ms
PS1992220,PS2008,1928,12,19,11,37,0,,7,124,,,,60,,7.3,,Ms
PS1992274,PS2009,1934,2,14,3,59,0,,17.5,119,,,,60,,7.4,,Ms
PS1992278,PS2010,1934,4,15,22,15,0,,7.75,127,,,,60,,7,,Ms
PS1992283,PS2011,1935,9,4,1,37,0,,22.25,121.25,,,,60,,7,,Ms
PS1992290,PS2012,1935,12,17,19,17,0,,22.5,125.5,,,,60,,7,,Ms
PS1992293,PS2013,1936,4,1,2,9,0,,4.5,126.5,,,,60,,7.6,,Ms
PS1992297,PS2014,1936,8,22,6,51,0,,22.25,120.75,,,,60,,7.1,,Ms
PS1992303,PS2015,1937,8,20,11,59,0,,14.5,121.5,,,,60,,7.3,,Ms
PS1992314,PS2016,1938,10,10,20,48,0,,2.25,126.75,,,,60,,7.1,,Ms
PS1992337,PS2017,1941,12,16,19,19,0,,21.5,120.5,,,,60,,7,,Ms
PS1992338,PS2018,1942,4,8,15,40,0,,13.5,121,,,,60,,7.3,,Ms
PS1992351,PS2019,1943,5,3,1,59,0,,12.5,125.5,,,,60,,7.1,,Ms
PS1992352,PS2020,1943,5,25,23,7,0,,7.5,128,,,,60,,7.5,,Ms
PS1992402,PS2021,1948,1,24,17,46,0,,10.5,122,,,,60,,8,,Ms
PS1992403,PS2022,1948,5,2,9,9,0,,18.5,119,,,,60,,7,,Ms
PS1992411,PS2023,1949,3,27,6,34,0,,3.5,127.5,,,,60,,7,,Ms
PS1992417,PS2024,1949,12,29,3,3,0,,18,121,,,,60,,7.2,,Ms
PS1992431,PS2025,1951,10,21,21,34,0,,23.75,121.5,,,,60,,7.4,,Ms
PS1992432,PS2026,1951,10,22,3,29,0,,23.75,121.25,,,,60,,7.2,,Ms
PS1992433,PS2027,1951,10,22,5,43,0,,24,121.25,,,,60,,7,,Ms
PS1992436,PS2028,1951,11,24,18,50,0,,23,122.5,,,,60,,7.3,,Ms
PS1992443,PS2029,1952,3,19,10,57,0,,9.5,127.25,,,,60,,7.6,,Ms
PS1992468,PS2030,1955,3,31,18,17,0,,8,124,,,,60,,7.6,,Ms
PS1992494,PS2031,1957,9,24,8,21,0,,5.5,127,,,,60,,7.6,,Ms
PS1992506,PS2032,1959,8,15,8,57,0,,22.1,120,,,,60,,7.1,,Ms
PS1992604,PS2033,1968,2,26,10,50,0,,22.8,121.5,,,,8,,7.1,,Ms
PS1992612,PS2034,1968,8,1,20,19,0,,16.3,122.1,,,,31,,7.2,,Ms
PS1992631,PS2035,1970,4,7,5,34,0,,15.8,121.7,,,,30,,7.1,,Ms
PS1992647,PS2036,1972,1,25,2,6,0,,22.45,122.26,,,,14,,7.4,,Ms
PS1992650,PS2037,1972,4,25,19,30,0,,13.37,120.34,,,,37,,7.1,,Ms
PS1992652,PS2038,1972,12,2,0,19,0,,6.47,126.6,,,,33,,7.2,,Ms
PS1992687,PS2039,1975,10,31,8,28,0,,12.54,125.99,,,,50,,7.4,,Ms
PS1992701,PS2040,1976,8,16,16,11,0,,6.26,124.02,,,,33,,7.8,,Ms
PS1992725,PS2041,1978,7,23,14,42,0,,22.28,121.51,,,,29,,7.2,,Ms
PS1992767,PS2042,1982,1,11,6,10,0,,13.75,124.36,,,,38,,7.1,,Ms
PS1992823,PS2043,1986,11,14,21,20,0,,23.96,121.82,,,,33.2,,7.8,,Ms
PS1992846,PS2044,1988,2,24,3,52,0,,13.48,124.62,,,,25,,7,,Ms
