Code,Name,Alias,Country
AAA,Alma-ata,,Kazakhstan
AAB,Alma-ata 2,,Kazakhstan
AAC,Unknown Historical Agency,,
AAE,University of Addis Ababa,,Ethiopia
AAM,University of Michigan,,U.S.A.
ABA,Alger-bouzareah,ALG,Algeria
ACI,Universita di Calabria,,Italy
ADE,Primary Industries and Resources SA,,Australia
ADH,Observatorio Afonso Chaves,,Portugal
AEIC,Alaska Earthquake Information Center,,U.S.A.
AFAD,Disaster and Emergency Management Presidency,,Turkey
AFAR,The Afar Depression: Interpretation of the 1960-2000 Earthquakes,,Israel
AFI,Apia Observatory,,Western Samoa
AFUA,University of Alabama,,U.S.A.
AGS,Alaska Seismic Project,,U.S.A.
ALG,Algiers University,,Algeria
ALI,Observatorio Sismologico Vicente Inglada,,Spain
ALM,Instituto Geografico y Catastral de Almeria,,Spain
ANCORP,Andean Continental Research Project,,Germany
ANDRE,,,USSR
ANF,USArray Array Network Facility,,U.S.A.
ANT,Antofagasta,GUC,Chile
ANUBIS,Antarctic Network of Broadband Seismometers,,U.S.A.
APA,Apatity,,Russia
API,Apia Observatory,,Western Samoa
APT,University of Connecticut,,U.S.A.
AQU,"L,Aquila",,Italy
ARA0,Arcess Array,,Norway
ARE,Instituto Geofisico del Peru,,Peru
ARO,Observatoire Géophysique d'Arta,,Djibouti
ASGSR,"Altai-Sayan Branch, Novosibirsk, Geophysical Survey, RAS",,Russia
ASIES,"Institute of Earth Sciences, Academia Sinica",,Chinese Taipei
ASL,Albuquerque Seismological Laboratory,,U.S.A.
ASM,University of Asmara,,Eritrea
ASRS,"Altai-Sayan Seismological Centre, GS SB RAS",,Russia
ATA,The Earthquake Research Center Ataturk University,,Turkey
ATH,National Observatory of Athens,,Greece
AUST,Geoscience Australia,,Australia
AVE,Averroes,,Morocco
AVETI,,,USSR
AWI,Alfred Wegener Institute for Polar and Marine Research,,Germany
AZER,Republican Seismic Survey Center of Azerbaijan National Academy of Sciences,,Azerbaijan
AZO,Centro de Informação e Vigilância Sismovulcânica dos Azores,,Portugal
BAA,Servicio Meteorologico Nacional,,Argentina
BAAS,British Association for the Advancement of Science,,
BAK,Unknown Historical Agency,,
BANJO,Broadband ANdean JOint Experiment,,U.S.A.
BASV,British Antarctic Survey,,United Kingdom
BCIS,Bureau Central International de Sismologie,,France
BDF,Observatório Sismológico da Universidade de Brasília,,Brazil
BELR,Centre of Geophysical Monitoring of the National Academy of Sciences of Belarus,,Republic of Belarus
BEO,Republicki seizmoloski zavod,,Serbia
BER,University of Bergen,,Norway
BERK,Berkheimer H,,Germany
BGLD,Geophysikalisches Observatorium der Ludwig-Maximilians Universität,,Germany
BGR,Bundesanstalt für Geowissenschaften und Rohstoffe,,Germany
BGS,British Geological Survey,,United Kingdom
BGSI,Botswana Geoscience Institute,,Botswana
BHP,Unknown Historical Agency,,
BHUJ,Bhuj Aftershock Study,,U.S.A.
BHUJ2,Study of Aftershocks of the Bhuj Earthquake by Japanese Research Team,,Japan
BIAK,Biak earthquake aftershocks (17-Feb-1996),,U.S.A.
BJI,China Earthquake Networks Center,,China
BJT,Baijiatuan,,China
BKK,Thai Meteorological Department,,Thailand
BLA,Virginia Tech,,U.S.A.
BNG,Observatoire ORSTOM de Bangui,,Central African Republic
BNS,"Erdbebenstation, Geologisches Institut der Universität, Köl",,Germany
BOG,Universidad Javeriana,,Colombia
BOM,Unknown Historical Agency,,
BOU,University of Colorado at Boulder,,U.S.A.
BOZ,Unknown Historical Agency,,
BRA,"Geophysical Institute, Slovak Academy of Sciences",,Slovakia
BRG,"Seismological Observatory Berggießhübel, TU Bergakademie Freiberg",,Germany
BRK,Berkeley Seismological Laboratory,,U.S.A.
BRS,Brisbane Seismograph Station,,Australia
BSE,Boise State University,,U.S.A.
BUC,National Institute for Earth Physics,,Romania
BUD,Geodetic and Geophysical Research Institute,,Hungary
BUEE,Earth & Environment,,U.S.A.
BUG,"Institute of Geology, Mineralogy & Geophysics",,Germany
BUL,Goetz Observatory,,Zimbabwe
BUT,Montana Bureau of Mines and Geology,,U.S.A.
BYKL,"Baykal Regional Seismological Centre, GS SB RAS",,Russia
CADCG,Central America Data Centre,CASC,Costa Rica
CAN,Australian National University,,Australia
CANSK,Canadian and Scandinavian Networks,HFS,Sweden
CAR,Instituto Sismologico de Caracas,,Venezuela
CASC,Central American Seismic Center,,Costa Rica
CATAC,Central American Tsunami Advisory Center,,Nicaragua
CDWR,California Department of Water Resources,,U.S.A.
CENT,Centennial Earthquake Catalog,,U.S.A.
CERI,Center for Earthquake Research and Information,,U.S.A.
CFUSG,"Inst. of Seismology and Geodynamics, V.I. Vernadsky Crimean Federal University",,Republic of Crimea
CGS,Coast and Geodetic Survey of the United States,NEIS,U.S.A.
CHM,Unknown Historical Agency,,
CHU,Unknown Historical Agency,,
CIG,Servicio Geologico Nacional de El Salvador,,El Salvador
CINCA,Crustal Investigations Off- and On-shore Nazca - Central Andes,,Germany
CLL,Geophysikalisches Observatorium Collm,,Germany
CMWS,"Laboratory of Seismic Monitoring of Caucasus Mineral Water Region, GSRAS",,Russia
CNG,Seismographic Station Changalane,,Mozambique
CNH,Changchun,BJI,China
CNRM,Centre National de Recherche,,Morocco
COI,Unknown Historical Agency,,
COM,Comitan,TAC,Mexico
CON,Unknown Historical Agency,,
COP,Unknown Historical Agency,,
COR,COAS Physical Oceanography,,U.S.A.
COSMOS,Consortium of Organizations for Strong Motion Observations,,U.S.A.
CRA,Unknown Historical Agency,,
CRAAG,"Centre de Recherche en Astronomie, Astrophysique et Géophysique",,Algeria
CRT,Cartuja Seismological Station,MDD,Spain
CSC,University of South Carolina,,U.S.A.
CSEM,Centre Sismologique Euro-Méditerranéen (CSEM/EMSC),,France
CUPWA,Curtin University,,Australia
DASA,Defense Atomic Support Agency,DOE,U.S.A.
DBN,Koninklijk Nederlands Meteorologisch Instituut,,Netherlands
DDA,General Directorate of Disaster Affairs,,Turkey
DHMR,Yemen National Seismological Center,,Yemen
DIAS,Dublin Institute for Advanced Studies,,Ireland
DJA,"Badan Meteorologi, Klimatologi dan Geofisika",,Indonesia
DMN,"National Seismological Centre, Nepal",,Nepal
DNAG,,,U.S.A.
DNK,Geological Survey of Denmark and Greenland,,Denmark
DOE,Department of Energy,,U.S.A.
DRS,"Dagestan Branch, Geophysical Survey, Russian Academy of Sciences",,Russia
DSN,Dubai Seismic Network,,United Arab Emirates
DUSS,"Damascus University, Syria",,Syria
EAF,East African Network,,
EAGLE,Ethiopia-Afar Geoscientific Lithospheric Experiment,,
EBM,Esen Boulak,,Mongolia
EBR,Observatori de l'Ebre,,Spain
EBSE,Ethiopian Broadband Seismic Experiment,,
ECGS,European Center for Geodynamics and Seismology,,Luxembourg
ECX,Centro de Investigación Científica y de Educación Superior de Ensenada,,Mexico
EFATE,"OBS Experiment near Efate, Vanuatu",,U.S.A.
EHB,"Engdahl, van der Hilst and Buland",,U.S.A.
EIDC,Experimental (GSETT3) International Data Center,,U.S.A.
EKA,Eskdalemuir Array Station,,United Kingdom
ENT,Geological Survey and Mines Department,,Uganda
EPSI,Reference events computed by the ISC for EPSI project,,United Kingdom
ERDA,Energy Research and Development Administration,DOE,U.S.A.
ERI,"Earthquake Research Institute, University of Tokyo",,Japan
ESK,Unknown Historical Agency,,
ESLA,Centro Sismologico de Sonseca,,Spain
EST,Geological Survey of Estonia,,Estonia
EUO,"Department of Geological Sciences, University of Oregon",,U.S.A.
EUROP,,,
EVBIB,Data from publications listed in the ISC Event Bibliography,,
FBR,Fabra Observatory,,Spain
FCIAR,Federal Center for Integrated Arctic Research,,Russia
FDF,Fort de France,,Martinique
FIA0,Finessa Array,,Finland
FKK,Unknown Historical Agency,,
FOR,Unknown Historical Agency,,
FRU,Unknown Historical Agency,,
FUBES,"Earth Science Dept., Geophysics Section",,Germany
FUNV,Fundación Venezolana de Investigaciones Sismológicas,,Venezuela
FUR,Geophysikalisches Observatorium der Universität München,,Germany
GBA,Bhaba Atomic Research Centre,,India
GBZT,Marmara Research Center,,Turkey
GCG,INSIVUMEH,,Guatemala
GCMT,The Global CMT Project,,U.S.A.
GDNRW,Geologischer Dienst Nordrhein-Westfalen,,Germany
GDSN,Ghana Geological Survey Department,,Ghana
GEC2,Geress Array,,Germany
GEM,ISC-GEM Global Instrumental Earthquake Catalogue,,
GEN,Dipartimento per lo Studio del Territorio e delle sue Risorse (RSNI),,Italy
GEOAZ,UMR Géoazur,,France
GEOMR,GEOMAR,,Germany
GFZ,Helmholtz Centre Potsdam GFZ German Research Centre For Geosciences,,Germany
GII,The Geophysical Institute of Israel,,Israel
GLD,Golden,,U.S.A.
GM,U.S. Geological Survey,,U.S.A.
GOL,Colorado School of Mines,,U.S.A.
GOM,Observatoire Volcanologique de Goma,,Democratic Republic of the Congo
GRA,Unknown Historical Agency,,
GRA1,Grafenberg Array,,Germany
GRAL,National Council for Scientific Research,,Lebanon
GRO,Unknown Historical Agency,,
GS,U.S. Geological Survey,USGS,U.S.A.
GSAST,Geophysial Survey of the Academy of Sciences of the Republic of Tajikistan,,Tajikistan
GSDM,Geological Survey Department Malawi,,Malawi
GSET2,"Group of Scientific Experts Second Technical Test 1991, April 22 - June 2",,
GSI,Geological Survey of Israel,,Israel
GTFE,German Task Force for Earthquakes,,Germany
GUC,"Centro Sismológico Nacional, Universidad de Chile",,Chile
GUTE,"Gutenberg and Richter, Seismicity of the Earth",,
GUV,CVG Electrificacion del Caroni,,Venezuela
HAM,Unknown Historical Agency,,
HAN,Hannover,SZGRF,Germany
HDC,Observatorio Vulcanológico y Sismológico de Costa Rica,,Costa Rica
HEL,"Institute of Seismology, University of Helsinki",,Finland
HFS,Hagfors Observatory,,Sweden
HFS1,Hagfors Observatory,,Sweden
HFS2,Hagfors Observatory,,Sweden
HIMNT,Himalayan Nepal Tibet Experiment,,U.S.A.
HKC,Hong Kong Observatory,,Hong Kong
HLUG,Hessisches Landesamt für Umwelt und Geologie,,Germany
HLW,National Research Institute of Astronomy and Geophysics,,Egypt
HNR,"Ministry of Mines, Energy and Rural Electrification",,Solomon Islands
HOKK_DSZ,Hokkaido Double Seismic Zone,,
HON,Pacific Tsunami Warning Center - NOAA,,U.S.A.
HROE,Geophysikalisches Observatorium - Hohe Rhvn-Fladungen,,Germany
HRV,Unknown Historical Agency,,
HRVD,Harvard University,,U.S.A.
HRVD_LR,"Department of Geological Sciences, Harvard University",,U.S.A.
HVO,Hawaiian Volcano Observatory,,U.S.A.
HYB,National Geophysical Research Institute,,India
HYD,National Geophysical Research Institute,NDI,India
IAG,Instituto Andaluz de Geofisica,,Spain
IASBS,Institute for Advanced Studies in Basic Sciences,,Iran
IASPEI,IASPEI Working Group on Reference Events,,U.S.A.
IBER,Institute of Earth Sciences Jaume Almera - CSIC,,Spain
ICE,Instituto Costarricense de Electricidad,,Costa Rica
IDC,"International Data Centre, CTBTO",,Austria
IDG,"Institute of Dynamics of Geosphere, Russian Academy of Sciences",,Russia
IEC,"Institute of the Earth Crust, SB RAS",,Russia
IEPN,"Institute of Environmental Problems of the North, Russian Academy of Sciences",,Russia
IFREE,Institute For Research on Earth Evolution,,Japan
IGGSL,"Seismology Lab, Institute of Geology & Geophysics, Chinese Academy of Sciences",,China
IGIL,"Instituto Dom Luiz, University of Lisbon",,Portugal
IGKR,"Institute of Geology,Komi Science Centre,Ural Branch,Russian Academy of Sciences",,Russia
IGKRC,"Institute of Geology, Karelian Research Centre, Russian Academy of Sciences",,Russia
IGQ,Servicio Nacional de Sismología y Vulcanología,,Ecuador
IGS,Institute of Geological Sciences,,United Kingdom
INAM,Instituto Nacional de Meteorologia e Geofisica - INAMET,,Angola
INC,Unknown Historical Agency,,
INDEPTH3,International Deep Profiling of Tibet and the Himalayas,,U.S.A.
INDR,Inst. Nacional de Recursos Hidraulicos,,Dominican Republic
INET,Instituto Nicaraguense de Estudios Territoriales - INETER,,Nicaragua
INMG,"Instituto Português do Mar e da Atmosfera, I.P.",,Portugal
INMGC,Instituto Nacional de Meteorologia e Geofísica,,Cape Verde
INTV,Instituto de Tecnología Venezolana para el Petróleo,,Venezuela
INY,Cornell university (INSTOC),,U.S.A.
IPEC,The Institute of Physics of the Earth (IPEC),,Czech Republic
IPER,"Institute of Physics of the Earth, Academy of Sciences, Moscow",,Russia
IPGP,Institut de Physique du Globe de Paris,,France
IPRG,Institute for Petroleum Research and Geophysics,,Israel
IRIS,IRIS Data Management Center,,U.S.A.
IRK,Unknown Historical Agency,,
IRSM,Institute of Rock Structure and Mechanics,,Czech Republic
ISA,International Seismological Association,,
ISC,International Seismological Centre,,United Kingdom
ISC-EHB,Revision and Continuation of the EHB project,,
ISCJB,International Seismological Centre,,United Kingdom
ISC-PPSM,International Seismological Centre Probabilistic Point Source Model,,United Kingdom
ISK,Kandilli Observatory and Earthquake Research Institute,,Turkey
ISN,Iraqi Meteorological and Seismology Organisation,,Iraq
ISS,International Seismological Summary,,United Kingdom
IST,"Institute of Physics of the Earth, Technical University of Istanbul",,Turkey
ISU,"Institute of Seismology, Academy of Sciences, Republic of Uzbekistan",,Uzbekistan
ITU,"Faculty of Mines, Department of Geophysical Engineering",,Turkey
JEN,Geodynamisches Observatorium Moxa,,Germany
JER,"Seismological Laboratory, Geological Survey of Israel",,Israel
JMA,Japan Meteorological Agency,,Japan
JOH,Bernard Price Institute of Geophysics,,South Africa
JSA,Jesuit Society of America,SLM,U.S.A.
JSN,Jamaica Seismic Network,,Jamaica
JSO,Jordan Seismological Observatory,,Jordan
KAAPVAAL,Kaapvaal Craton Seismic Experiment,,U.S.A.
KAF,Kangasniemi Station,,Finland
KBC,Institut de Recherches Géologiques et Minières,,Cameroon
KBL,Afghanistan Seismological Observatory,,Afghanistan
KEA,Korea Earthquake Administration,,Democratic People's Republic of Korea
KEW,Kew Observatory,,United Kingdom
KHC,"Institute of Geophysics, Czech Academy of Sciences",,Czech Republic
KHO,Khorog,,Tajikistan
KIR,Kiruna,UPP,Sweden
KISR,Kuwait Institute for Scientific Research,,Kuwait
KLM,Malaysian Meteorological Service,,Malaysia
KMA,Korea Meteorological Administration,,Republic of Korea
KNET,Kyrgyz Seismic Network,,Kyrgyzstan
KOB,Unknown Historical Agency,,
KOC,Unknown Historical Agency,,
KOLA,"Kola Regional Seismic Centre, GS RAS",,Russia
KRAR,"Krasnoyarsk Scientific Research Inst. of Geology and Mineral Resources, Russia",,Russia
KRISP,Kenya Rift International Seismic Project,,Germany
KRL,Geodätisches Institut der Universität Karlsruhe,,Germany
KRNET,"Institute of Seismology, Academy of Sciences of Kyrgyz Republic",,Kyrgyzstan
KRSC,Kamchatka Branch of the Geophyiscal Survey of the RAS,,Russia
KRSZO,"Geodetic and Geophysical Reasearch Institute, Hungarian Academy of Sciences",,Hungary
KSA,Observatoire de Ksara,,Lebanon
KUK,Geological Survey Department of Ghana,,Ghana
LAO,Large Aperture Seismic Array,,U.S.A.
LDG,Laboratoire de Détection et de Géophysique/CEA,,France
LDN,University of Western Ontario,,Canada
LDO,Lamont-Doherty Earth Observatory,,U.S.A.
LED,Landeserdbebendienst Baden-Württemberg,LEDBW,Germany
LEDBW,Landeserdbebendienst Baden-Württemberg,,Germany
LEM,Lembang Station,DJA,Indonesia
LER,Besucherbergwerk Binweide Station,,Germany
LIB,Tripoli,,Libya
LIC,Station Géophysique de Lamto,,Ivory Coast
LIM,Lima,ARE,Peru
LIS,Instituto de Meteorologia,,Portugal
LIT,Geological Survey of Lithuania,,Lithuania
LJU,Slovenian Environment Agency,,Slovenia
LPA,Universidad Nacional de La Plata,,Argentina
LPB,Unknown Historical Agency,,
LPZ,Observatorio San Calixto,,Bolivia
LRA,Unknown Historical Agency,,
LRSM,Long Range Seismic Measurements Project,,
LSZ,Geological Survey Department of Zambia,,Zambia
LTX,Lajitas Seismic Array,,U.S.A.
LVSN,Latvian Seismic Network,,Latvia
LVV,Department of Seismic Activity of Carpathian area (Lviv),,Ukraine
LWI,Centre de Geophysique du Zaire,,Democratic Republic of the Congo
MAL,Malaga,MDD,Spain
MAN,Philippine Institute of Volcanology and Seismology,,Philippines
MASS,Marcelo Assumpcao,,Brazil
MAT,The Matsushiro Seismological Observatory,,Japan
MATSS,,,USSR
MCO,Macao Meteorological and Geophysical Bureau,,"Macao, China"
MCSM,Main Centre for Special Monitoring,,Ukraine
MDD,Instituto Geográfico Nacional,,Spain
MED_RCMT,MedNet Regional Centroid - Moment Tensors,,Italy
MELT,Mantle Electromagnetic and Tomography Experiment,,U.S.A.
MER,Merida,TAC,Mexico
MERI,Maharashta Engineering Research Institute,,India
MES,Messina Seismological Observatory,,Italy
MEX,Instituto de Geofísica de la UNAM,,Mexico
MIRAS,Mining Institute of the Ural Branch of the Russian Academy of Sciences,,Russia
